Accuracy,Dataset,Source
0.78,PROTEINS,Leaderboard
0.78,PROTEINS,Leaderboard
0.78,PROTEINS,Leaderboard
0.78,PROTEINS,Leaderboard
0.78,PROTEINS,Leaderboard
0.78,PROTEINS,Leaderboard
0.78,PROTEINS,Leaderboard
0.78,PROTEINS,Leaderboard
0.78,PROTEINS,Leaderboard
0.77,PROTEINS,Leaderboard
0.77,PROTEINS,Leaderboard
0.77,PROTEINS,Leaderboard
0.77,PROTEINS,Leaderboard
0.77,PROTEINS,Leaderboard
0.77,PROTEINS,Leaderboard
0.77,PROTEINS,Leaderboard
0.77,PROTEINS,Leaderboard
0.77,PROTEINS,Leaderboard
0.77,PROTEINS,Leaderboard
0.77,PROTEINS,Leaderboard
0.76,PROTEINS,Leaderboard
0.76,PROTEINS,Leaderboard
0.76,PROTEINS,Leaderboard
0.76,PROTEINS,Leaderboard
0.76,PROTEINS,Leaderboard
0.76,PROTEINS,Leaderboard
0.76,PROTEINS,Leaderboard
0.76,PROTEINS,Leaderboard
0.76,PROTEINS,Leaderboard
0.76,PROTEINS,Leaderboard
0.76,PROTEINS,Leaderboard
0.76,PROTEINS,Leaderboard
0.76,PROTEINS,Leaderboard
0.76,PROTEINS,Leaderboard
0.76,PROTEINS,Leaderboard
0.75,PROTEINS,Leaderboard
0.75,PROTEINS,Leaderboard
0.75,PROTEINS,Leaderboard
0.75,PROTEINS,Leaderboard
0.75,PROTEINS,Leaderboard
0.75,PROTEINS,Leaderboard
0.75,PROTEINS,Leaderboard
0.75,PROTEINS,Leaderboard
0.75,PROTEINS,Leaderboard
0.75,PROTEINS,Leaderboard
0.75,PROTEINS,Leaderboard
0.75,PROTEINS,Leaderboard
0.75,PROTEINS,Leaderboard
0.75,PROTEINS,Leaderboard
0.74,PROTEINS,Leaderboard
0.74,PROTEINS,Leaderboard
0.74,PROTEINS,Leaderboard
0.74,PROTEINS,Leaderboard
0.74,PROTEINS,Leaderboard
0.74,PROTEINS,Leaderboard
0.74,PROTEINS,Leaderboard
